,Price,Time,Sold,Added,Percent Diff,Item,Class,Type,Day,Hour,Date
67,22502,0,0,0,0,coin,Start,bid,Tuesday,13,2023-05-09T13:53:05.612387Z
68,22502,0,0,0,0,coin,Start,bid,Tuesday,13,2023-05-09T13:53:51.988457Z
69,22502,0,0,0,0,coin,Start,bid,Tuesday,13,2023-05-09T13:54:58.594601Z
70,22502,0,0,0,0,coin,Start,bid,Tuesday,13,2023-05-09T13:55:34.681777Z
71,22502,0,0,0,0,coin,Start,bid,Tuesday,13,2023-05-09T13:56:48.305441Z
72,22503,0,0,0,0,coin,Start,bid,Tuesday,13,2023-05-09T13:57:31.303161Z
73,22504,1,0,1,0,coin,Opened,bid,Tuesday,13,2023-05-09T13:57:52.438778Z
74,22503,0,0,0,0,coin,Start,bid,Tuesday,14,2023-05-09T14:01:48.192937Z
75,22504,12,0,1,0,coin,Opened,bid,Tuesday,14,2023-05-09T14:04:05.867819Z
76,22800,0,0,0,0,coin,Start,bid,Tuesday,14,2023-05-09T14:17:37.220687Z
77,22801,3,0,1,0,coin,Opened,bid,Tuesday,14,2023-05-09T14:18:30.617380Z
78,22801,0,0,0,0,coin,Start,bid,Tuesday,14,2023-05-09T14:19:08.809102Z
79,22801,0,0,0,0,coin,Start,bid,Tuesday,14,2023-05-09T14:25:24.035253Z
80,23102,0,0,0,0,coin,Start,bid,Tuesday,16,2023-05-09T16:10:20.081011Z
81,23101,5,1,0,0,coin,Closed,bid,Tuesday,16,2023-05-09T16:11:08.230266Z
